Date,Address,City,State,FirstDraw,ThreeMin,FiveMin,Latitude,Longitude,Accuracy_S,Accuracy_T
10/2/2016,10000 S. Hoyne Ave.,Chicago,Il,1,2,1,41.71175200000,-87.67489600000,1.00000000000,rooftop
10/2/2017,1000 N. Hoyne Ave.,Chicago,Il,1,1,1,41.89966800000,-87.67992500000,1.00000000000,rooftop
11/30/2018,1000 W. Webster Ave.,Chicago,Il,1,1,1,41.92158700000,-87.65348700000,1.00000000000,range_interpolation
9/29/2016,10000 S. Hamilton Ave.,Chicago,Il,3,3,3,41.71178000000,-87.67573600000,1.00000000000,range_interpolation
11/21/2018,10000 S. Winchester Ave.,Chicago,Il,6,6,3,41.71183800000,-87.67097400000,1.00000000000,rooftop
12/19/2018,10000 S. Carpenter St.,Chicago,Il,2,2,1,41.71213700000,-87.64939800000,1.00000000000,rooftop
7/4/2016,10000 S. Damen Ave.,Chicago,Il,2,6,2,41.71178000000,-87.67247800000,1.00000000000,rooftop
3/26/2017,10000 S. Seeley Ave.,Chicago,Il,7,3,2,41.71175900000,-87.67368700000,1.00000000000,rooftop
10/17/2016,1000 W. Cullerton St.,Chicago,Il,1,1,1,41.85550700000,-87.65166800000,1.00000000000,rooftop
12/10/2018,1000 W. Roscoe St.,Chicago,Il,1,1,1,41.94373100000,-87.65465400000,1.00000000000,rooftop
9/8/2016,1000 W 129th Pl,Chicago,Il,6,3,3,41.65866900000,-87.64631200000,1.00000000000,rooftop
6/30/2018,1000 N. Winchester Ave.,Chicago,Il,4,4,4,41.89972000000,-87.67593200000,1.00000000000,range_interpolation
8/11/2018,1000 S. Oakley Blvd.,Chicago,Il,1,1,1,41.86886900000,-87.68395900000,1.00000000000,rooftop
6/3/2016,1000 W. 102nd St.,Chicago,Il,3,7,2,41.70853800000,-87.64774400000,1.00000000000,range_interpolation
6/18/2017,1000 W. Dickens Ave.,Chicago,Il,4,9,16,41.91982100000,-87.65397000000,1.00000000000,rooftop
3/10/2019,100 W 104th St,Chicago,Il,7,7,2,41.70557900000,-87.62604200000,1.00000000000,rooftop
10/11/2016,10100 S. Seeley Ave.,Chicago,Il,4,11,10,41.71000700000,-87.67404300000,1.00000000000,rooftop
6/25/2018,10100 S. Hoyne Ave.,Chicago,Il,1,3,4,41.70994600000,-87.67576000000,1.00000000000,rooftop
1/25/2017,10100 S. Morgan St.,Chicago,Il,6,7,2,41.71036500000,-87.64816500000,1.00000000000,rooftop
8/5/2018,1000 N River Walk,Chicago,Il,1,1,1,41.88531000000,-87.62213000000,0.33000000000,place
8/27/2018,1000 N. Clark St.,Chicago,Il,1,1,1,41.90069300000,-87.63162800000,1.00000000000,rooftop
2/11/2019,10100 S Wentworth Ave,Chicago,Il,1,1,1,41.71061500000,-87.62875500000,1.00000000000,rooftop
12/13/2018,10100 S. Artesian Ave.,Chicago,Il,4,8,2,41.70988200000,-87.68336500000,1.00000000000,rooftop
1/11/2019,10100 S Talman Ave,Chicago,Il,6,6,2,41.70983000000,-87.68826100000,1.00000000000,rooftop
2/23/2019,10100 S Seeley Ave,Chicago,Il,3,7,2,41.71000700000,-87.67404300000,1.00000000000,rooftop
5/16/2016,10100 S. Indiana,Chicago,Il,2,2,1,41.71074900000,-87.61907000000,1.00000000000,rooftop
2/21/2019,10100 S Hoxie Ave,Chicago,Il,2,2,1,41.71162200000,-87.56128300000,1.00000000000,rooftop
8/4/2016,10100 S. Seeley Ave.,Chicago,Il,5,4,2,41.71000700000,-87.67404300000,1.00000000000,rooftop
6/16/2018,10100 S. Eberhart Ave.,Chicago,Il,2,1,1,41.71086900000,-87.61178300000,1.00000000000,rooftop
7/8/2018,1000 N. Wood St.,Chicago,Il,1,1,1,41.89975600000,-87.67263800000,1.00000000000,rooftop
12/2/2018,10100 S Prospect Ave.,Chicago,Il,7,6,6,41.70993200000,-87.66238400000,1.00000000000,range_interpolation
7/11/2016,10100 S. Artesian Ave.,Chicago,Il,2,4,1,41.70988200000,-87.68336500000,1.00000000000,rooftop
7/11/2016,10100 S. Emerald Ave.,Chicago,Il,2,1,1,41.71045000000,-87.64206800000,1.00000000000,rooftop
7/11/2016,10100 S. Beverly Ave.,Chicago,Il,4,12,6,41.71024100000,-87.65807300000,1.00000000000,rooftop
2/18/2019,10100 S Fairfield Ave,Chicago,Il,10,10,4,41.70979200000,-87.69036600000,1.00000000000,range_interpolation
2/10/2019,1000 N Karlov Ave,Chicago,Il,3,3,1,41.89911200000,-87.72901800000,1.00000000000,rooftop
2/3/2019,10100 S Wallace St,Chicago,Il,3,3,3,41.71049200000,-87.63842800000,1.00000000000,rooftop
11/27/2018,10100 S Beverly Ave,Chicago,Il,1,1,1,41.71024100000,-87.65807300000,1.00000000000,rooftop
2/25/2019,10100 S Lafayette Ave,Chicago,Il,4,11,2,41.71065000000,-87.62515100000,1.00000000000,rooftop
8/20/2018,1000 W. Oakdale Ave.,Chicago,Il,2,3,1,41.93520800000,-87.65395000000,1.00000000000,range_interpolation
7/10/2016,10100 S. Prospect Ave.,Chicago,Il,3,3,3,41.70993200000,-87.66238400000,1.00000000000,range_interpolation
11/13/2018,10100 S. Bell Ave.,Chicago,Il,1,1,1,41.70987600000,-87.67897300000,1.00000000000,rooftop
3/9/2018,10100 S. Indiana Ave.,Chicago,Il,3,1,1,41.71074900000,-87.61907000000,1.00000000000,rooftop
2/14/2019,1000 N Central Park Ave,Chicago,Il,6,7,7,41.89862300000,-87.76588300000,1.00000000000,rooftop
9/4/2018,1000 W. 32nd St.,Chicago,Il,1,1,1,41.83601200000,-87.65109900000,1.00000000000,range_interpolation
11/17/2017,1000 N. Hermitage Ave.,Chicago,Il,2,1,1,41.89980000000,-87.67105900000,1.00000000000,range_interpolation
8/31/2017,1000 N. Mozart St.,Chicago,Il,1,2,1,41.89940200000,-87.69839900000,1.00000000000,rooftop
6/7/2016,1000 E. Hyde Park Blvd.,Chicago,Il,1,1,1,41.80246200000,-87.60151300000,1.00000000000,range_interpolation
1/21/2019,1000 N Wood St,Chicago,Il,3,2,1,41.89975600000,-87.67263800000,1.00000000000,rooftop
1/17/2019,1000 N. Marshfield Ave.,Chicago,Il,1,1,1,41.89983700000,-87.66860200000,1.00000000000,range_interpolation
7/11/2018,1000 S. Wabash Ave.,Chicago,Il,1,1,1,41.86980100000,-87.62637900000,1.00000000000,rooftop
1/27/2019,1000 S. Wabash Ave.,Chicago,Il,1,1,1,41.86980100000,-87.62637900000,1.00000000000,rooftop
7/26/2018,1000 W. Dakin St.,Chicago,Il,2,1,1,41.95336000000,-87.65451600000,1.00000000000,range_interpolation
2/19/2019,10200 S Rhodes Ave,Chicago,Il,4,3,2,41.70903400000,-87.61051400000,1.00000000000,rooftop
9/25/2016,10200 S. Leavitt St.,Chicago,Il,3,3,3,41.70810800000,-87.67730800000,1.00000000000,rooftop
7/23/2016,10200 S. Beverly Ave.,Chicago,Il,5,4,3,41.70878100000,-87.65733400000,1.00000000000,rooftop
8/16/2016,10200 S. Aberdeen St.,Chicago,Il,5,10,5,41.70851900000,-87.65017600000,1.00000000000,range_interpolation
8/6/2016,10200 S. Springfield Ave.,Chicago,Il,4,9,3,41.70700200000,-87.71839400000,0.90000000000,range_interpolation
7/3/2018,10200 S Leavitt St,Chicago,Il,2,4,2,41.70810800000,-87.67730800000,1.00000000000,rooftop
11/15/2018,10200 S. Forest Ave.,Chicago,Il,4,4,10,41.70896000000,-87.61660500000,1.00000000000,rooftop
8/1/2016,10200 S. Crandon Ave.,Chicago,Il,3,6,1,41.70973300000,-87.56730200000,1.00000000000,rooftop
8/6/2016,10200 S. Seeley Ave.,Chicago,Il,3,2,2,41.70769700000,-87.67345000000,1.00000000000,range_interpolation
9/22/2018,1000 N. Hermitage Ave.,Chicago,Il,1,1,1,41.89980000000,-87.67105900000,1.00000000000,range_interpolation
11/30/2016,10200 S. Artesian Ave.,Chicago,Il,3,2,1,41.70803900000,-87.68330900000,1.00000000000,rooftop
11/21/2018,10200 S Seeley Ave.,Chicago,Il,2,1,1,41.70769700000,-87.67345000000,1.00000000000,range_interpolation
10/22/2016,10200 S. Artesian Ave.,Chicago,Il,6,15,5,41.70803900000,-87.68330900000,1.00000000000,rooftop
7/24/2016,10200 S. California Ave.,Chicago,Il,1,1,1,41.70795900000,-87.69155500000,1.00000000000,range_interpolation
11/4/2018,1000 E 49th St.,Chicago,Il,2,1,1,41.80609800000,-87.60162900000,1.00000000000,range_interpolation
12/25/2018,1000 N. Hermitage Ave.,Chicago,Il,1,1,1,41.89980000000,-87.67105900000,1.00000000000,range_interpolation
11/29/2018,1000 N. Oakley Blvd.,Chicago,Il,1,1,1,41.89958900000,-87.68481300000,1.00000000000,rooftop
5/22/2018,1000 N. Paulina St.,Chicago,Il,1,1,1,41.89981800000,-87.66983800000,1.00000000000,range_interpolation
8/12/2018,1000 W Fry St.,Chicago,Il,1,1,1,41.89688000000,-87.65872000000,1.00000000000,rooftop
12/15/2018,10200 S. California Ave.,Chicago,Il,4,6,8,41.70795900000,-87.69155500000,1.00000000000,range_interpolation
11/11/2018,10200 S. Albany Ave.,Chicago,Il,1,1,1,41.70696300000,-87.69843900000,1.00000000000,range_interpolation
9/7/2016,1000 N. Honore St,Chicago,Il,1,1,1,41.89976300000,-87.67348800000,1.00000000000,range_interpolation
2/12/2016,1000 W. 102nd St.*,Chicago,Il,1,1,1,41.70853800000,-87.64774400000,1.00000000000,range_interpolation
4/21/2016,1000 W. 102nd St.,Chicago,Il,2,1,1,41.70853800000,-87.64774400000,1.00000000000,range_interpolation
7/30/2018,1000 W. Vernon Park Pl.,Chicago,Il,1,1,1,41.87284200000,-87.65535800000,1.00000000000,range_interpolation
12/7/2018,10200 S Whipple St,Chicago,Il,2,6,1,41.70698200000,-87.69728700000,1.00000000000,range_interpolation
6/21/2016,10200 S. Whipple St.,Chicago,Il,1,1,1,41.70698200000,-87.69728700000,1.00000000000,range_interpolation
6/3/2016,1000 N. Winchester Ave.,Chicago,Il,1,1,1,41.89972000000,-87.67593200000,1.00000000000,range_interpolation
8/29/2016,1000 N. Lawndale Ave.,Chicago,Il,13,4,4,41.89925000000,-87.71923600000,1.00000000000,rooftop
2/10/2019,1000 S Claremont Ave,Chicago,Il,2,2,2,41.86884400000,-87.68487700000,1.00000000000,range_interpolation
8/1/2017,1000 E. 49th St.,Chicago,Il,1,1,1,41.80609800000,-87.60162900000,1.00000000000,range_interpolation
1/25/2018,1000 N. State St.,Chicago,Il,1,1,1,41.90080000000,-87.62893800000,1.00000000000,rooftop
3/13/2017,1000 N. State St.,Chicago,Il,1,1,1,41.90080000000,-87.62893800000,1.00000000000,rooftop
8/16/2016,1000 W. Byron St.,Chicago,Il,1,1,1,41.95252300000,-87.65449000000,1.00000000000,range_interpolation
3/7/2019,10300 S Hoyne Ave,Chicago,Il,4,4,2,41.70633600000,-87.67472100000,1.00000000000,rooftop
6/30/2018,10300 S. Christiana Ave.,Chicago,Il,4,7,3,41.70597600000,-87.70540200000,1.00000000000,rooftop
1/6/2019,10300 S. Leavitt St.,Chicago,Il,1,1,1,41.70619200000,-87.67700700000,1.00000000000,rooftop
3/10/2019,10300 S Spaulding Ave,Chicago,Il,7,3,3,41.70599400000,-87.70421400000,1.00000000000,rooftop
10/3/2016,10300 S. Whipple St.,Chicago,Il,6,4,4,41.70608800000,-87.69782200000,1.00000000000,range_interpolation
7/31/2018,10300 S. Hamilton Ave.,Chicago,Il,1,2,2,41.70631200000,-87.67592400000,1.00000000000,rooftop
8/13/2016,10300 S. Hamilton Ave.,Chicago,Il,8,16,13,41.70631200000,-87.67592400000,1.00000000000,rooftop
9/28/2016,10300 S. Hamilton Ave.,Chicago,Il,0,0,0,41.70631200000,-87.67592400000,1.00000000000,rooftop
6/16/2018,10300 S. California Ave.,Chicago,Il,1,1,1,41.70616400000,-87.69147400000,1.00000000000,range_interpolation
2/11/2019,10300 S Leavitt St,Chicago,Il,2,2,2,41.70619200000,-87.67700700000,1.00000000000,rooftop
12/28/2018,10300 S. Homan Ave.,Chicago,Il,2,1,1,41.70595800000,-87.70661700000,1.00000000000,rooftop
6/5/2018,10300 S. Crandon Ave.,Chicago,Il,5,5,4,41.70791500000,-87.56692700000,1.00000000000,range_interpolation
7/7/2016,10300 S. St. Louis Ave.,Chicago,Il,2,17,7,41.70592000000,-87.70912500000,1.00000000000,rooftop
8/26/2016,10300 S. St. Louis Ave.,Chicago,Il,0,0,0,41.70592000000,-87.70912500000,1.00000000000,rooftop
10/21/2016,10300 S. Hamilton Ave.,Chicago,Il,4,4,4,41.70631200000,-87.67592400000,1.00000000000,rooftop
3/8/2019,10300 S Bensley Ave,Chicago,Il,1,1,1,41.70797000000,-87.56330200000,1.00000000000,range_interpolation
12/7/2018,1000 N. Monitor Ave.,Chicago,Il,1,1,1,41.89857000000,-87.77189200000,1.00000000000,rooftop
10/5/2016,10300 S. Hamlin Ave.,Chicago,Il,5,15,7,41.70582500000,-87.71601000000,1.00000000000,range_interpolation
,10300 S. Hamlin Ave.,Chicago,Il,0,0,0,41.70582500000,-87.71601000000,1.00000000000,range_interpolation
8/7/2018,10300 S California Ave.,Chicago,Il,1,1,1,41.70616400000,-87.69147400000,1.00000000000,range_interpolation
9/22/2016,10300 S. Peoria St.,Chicago,Il,10,4,3,41.70674300000,-87.64526300000,1.00000000000,range_interpolation
8/13/2018,10300 S. Wood St.,Chicago,Il,2,2,1,41.70646400000,-87.66710400000,1.00000000000,range_interpolation
2/26/2019,10300 S Artesian Ave,Chicago,Il,1,1,1,41.70622800000,-87.68289600000,1.00000000000,range_interpolation
7/2/2018,10300 S Bell Ave,Chicago,Il,1,2,2,41.70627800000,-87.67799500000,1.00000000000,range_interpolation
7/10/2016,10300 S. Talman Ave.,Chicago,Il,3,7,2,41.70618400000,-87.68871800000,1.00000000000,rooftop
6/14/2018,1000 E 47th St,Chicago,Il,1,1,1,41.81000400000,-87.60133000000,1.00000000000,rooftop
1/16/2019,1000 S. Oakley Blvd.,Chicago,Il,9,5,2,41.86886900000,-87.68395900000,1.00000000000,rooftop
5/10/2017,10300 S. Talman Ave.,Chicago,Il,2,1,1,41.70618400000,-87.68871800000,1.00000000000,rooftop
12/9/2018,10300 S Avenue G,Chicago,Il,2,5,2,41.70806800000,-87.53166000000,1.00000000000,range_interpolation
8/22/2018,10300 S. Millard Ave.,Chicago,Il,1,1,1,41.70542000000,-87.71232900000,1.00000000000,range_interpolation
1/21/2018,1000 W. Barry Ave.,Chicago,Il,1,1,1,41.93793900000,-87.65404400000,1.00000000000,range_interpolation
11/7/2018,1000 W. Lill Ave.,Chicago,Il,1,1,1,41.92795000000,-87.65370200000,1.00000000000,range_interpolation
6/17/2018,1000 W. Van Buren St.,Chicago,Il,1,1,1,41.87683300000,-87.65222400000,1.00000000000,rooftop
8/21/2016,10300 S. Hamlin Ave.,Chicago,Il,3,2,2,41.70582500000,-87.71601000000,1.00000000000,range_interpolation
2/11/2019,10300 S Fairfield Ave,Chicago,Il,4,3,3,41.70616600000,-87.69030000000,1.00000000000,rooftop
9/19/2016,10300 S. Lawndale Ave.,Chicago,Il,7,1,1,41.70586500000,-87.71356900000,1.00000000000,range_interpolation
2/24/2019,10300 S Sawyer Ave,Chicago,Il,2,1,1,41.70600000000,-87.70292200000,1.00000000000,rooftop
6/25/2016,10300 S. Albany Ave.,Chicago,Il,2,1,1,41.70590900000,-87.69918000000,1.00000000000,rooftop
7/18/2016,10300 S. Troy St.,Chicago,Il,2,6,3,41.70592000000,-87.70037900000,1.00000000000,rooftop
3/9/2019,10300 S Whipple St,Chicago,Il,2,2,1,41.70608800000,-87.69782200000,1.00000000000,range_interpolation
7/23/2018,10300 S. Christiana Ave.,Chicago,Il,3,14,3,41.70597600000,-87.70540200000,1.00000000000,rooftop
7/25/2016,10300 S. Prospect Ave.,Chicago,Il,7,17,8,41.70655400000,-87.66249500000,1.00000000000,rooftop
10/8/2016,10300 S. Prospect Ave.,Chicago,Il,0,0,0,41.70655400000,-87.66249500000,1.00000000000,rooftop
3/10/2019,10300 S Drake Ave,Chicago,Il,3,4,1,41.70582200000,-87.71013700000,1.00000000000,rooftop
2/10/2019,10300 S. St. Louis Ave.,Chicago,Il,2,6,1,41.70592000000,-87.70912500000,1.00000000000,rooftop
7/23/2016,1000 N. La Salle Dr.,Chicago,Il,2,2,1,41.90066600000,-87.63322500000,1.00000000000,rooftop
6/24/2018,1000 N. Crosby St.,Chicago,Il,1,1,1,41.90023000000,-87.64406100000,1.00000000000,rooftop
1/17/2017,1000 N. Honore St.,Chicago,Il,6,2,2,41.89976300000,-87.67348800000,1.00000000000,range_interpolation
6/18/2017,100 W. Oak St.,Chicago,Il,1,1,1,41.90040200000,-87.63134900000,1.00000000000,range_interpolation
10/29/2018,1000 N. Paulina St.,Chicago,Il,1,1,1,41.89981800000,-87.66983800000,1.00000000000,range_interpolation
3/14/2017,1000 W. Balmoral Ave.,Chicago,Il,1,1,1,41.97990000000,-87.65508700000,1.00000000000,range_interpolation
6/21/2018,1000 W. Catalpa Ave.,Chicago,Il,1,1,1,41.98172800000,-87.65514000000,1.00000000000,range_interpolation
8/14/2018,1000 W. Granville Ave.,Chicago,Il,1,1,1,41.99444800000,-87.65552400000,1.00000000000,range_interpolation
7/31/2016,10400 S. Trumball Ave.,Chicago,Il,15,20,3,41.70412000000,-87.70782400000,1.00000000000,rooftop
1/13/2017,10400 S. Trumball Ave.,Chicago,Il,0,0,0,41.70412000000,-87.70782400000,1.00000000000,rooftop
7/30/2016,10400 S. Walden Pkwy.,Chicago,Il,4,3,6,41.70474200000,-87.66946600000,1.00000000000,range_interpolation
7/28/2016,10400 S. Hamilton Ave.,Chicago,Il,4,2,1,41.70448000000,-87.67586500000,1.00000000000,rooftop
11/23/2016,10400 S. Springfield Ave.,Chicago,Il,3,3,1,41.70387200000,-87.71863700000,1.00000000000,rooftop
5/16/2017,10400 S. Homan Ave.,Chicago,Il,3,2,1,41.70414100000,-87.70655000000,1.00000000000,rooftop
2/21/2019,10400 S Campbell Ave,Chicago,Il,1,1,1,41.70440400000,-87.68441200000,1.00000000000,rooftop
4/9/2016,10400 S. Campbell Ave.,Chicago,Il,1,2,1,41.70440400000,-87.68441200000,1.00000000000,rooftop
2/27/2016,10400 S. Campbell Ave.*,Chicago,Il,1,2,1,41.70440400000,-87.68441200000,1.00000000000,rooftop
4/7/2016,10400 S. Central Park Ave.,Chicago,Il,2,5,1,41.70398900000,-87.71144900000,1.00000000000,rooftop
2/10/2016,10400 S. Central Park Ave.*,Chicago,Il,4,4,1,41.70398900000,-87.71144900000,1.00000000000,rooftop
9/27/2016,10400 S. Springfield Ave.,Chicago,Il,2,9,2,41.70387200000,-87.71863700000,1.00000000000,rooftop
11/27/2018,10400 S. Artesian Ave.,Chicago,Il,3,6,2,41.70441000000,-87.68283900000,1.00000000000,range_interpolation
1/22/2019,10400 S M St,Chicago,Il,1,1,1,41.70303500000,-87.65117500000,0.60000000000,nearest_rooftop_match
6/4/2018,10400 S. Hoyne Ave.,Chicago,Il,3,4,2,41.70436600000,-87.67465900000,1.00000000000,rooftop
12/6/2018,10400 S. Maplewood Ave.,Chicago,Il,2,2,1,41.70438300000,-87.68562700000,1.00000000000,rooftop
9/26/2016,10400 S. Longwood Dr.,Chicago,Il,4,5,5,41.70457000000,-87.67167300000,1.00000000000,rooftop
10/11/2016,10400 S. Ave. G,Chicago,Il,2,4,3,41.70623500000,-87.53165700000,1.00000000000,range_interpolation
8/5/2016,10400 S. Green St.,Chicago,Il,8,11,4,41.70495700000,-87.64433900000,1.00000000000,rooftop
2/18/2019,10400 S Prospect Ave,Chicago,Il,2,1,1,41.70473200000,-87.66256000000,1.00000000000,rooftop
7/29/2018,10400 S. Leavitt St.,Chicago,Il,4,5,4,41.70446400000,-87.67708500000,1.00000000000,rooftop
7/31/2016,10400 S. Whipple St.,Chicago,Il,1,1,1,41.70426900000,-87.69809900000,1.00000000000,rooftop
11/26/2016,10400 S. Whipple St.,Chicago,Il,4,5,2,41.70426900000,-87.69809900000,1.00000000000,rooftop
8/14/2018,1000 N. Kedzie Ave.,Chicago,Il,2,2,2,41.89933400000,-87.70705800000,1.00000000000,rooftop
8/9/2016,1000 W. Dakin St.,Chicago,Il,2,2,4,41.95336000000,-87.65451600000,1.00000000000,range_interpolation
7/24/2016,1000 W. Grace St.,Chicago,Il,2,1,1,41.95097400000,-87.65444300000,1.00000000000,range_interpolation
3/5/2019,10400 S Sacramento Ave,Chicago,Il,2,7,1,41.70428200000,-87.69695100000,1.00000000000,rooftop
2/5/2017,10400 S. Hoyne Ave.,Chicago,Il,2,2,1,41.70436600000,-87.67465900000,1.00000000000,rooftop
10/30/2018,10400 S. Avenue N,Chicago,Il,2,1,1,41.70624300000,-87.54012200000,1.00000000000,range_interpolation
6/29/2016,10400 S. Millard Ave.,Chicago,Il,5,8,3,41.70403300000,-87.71227200000,1.00000000000,range_interpolation
1/23/2018,10400 S. Seeley Ave.,Chicago,Il,1,1,1,41.70452500000,-87.67337200000,1.00000000000,rooftop
12/12/2016,10400 S. Sawyer Ave.,Chicago,Il,1,1,1,41.70419500000,-87.70285000000,1.00000000000,rooftop
1/3/2019,10400 S. Troy St.,Chicago,Il,4,4,1,41.70424300000,-87.70045600000,1.00000000000,rooftop
2/23/2016,10400 S. Vernon Ave.,Chicago,Il,26,4,2,41.70537900000,-87.61284600000,1.00000000000,rooftop
,10400 S. Vernon Ave.,Chicago,Il,0,0,0,41.70537900000,-87.61284600000,1.00000000000,rooftop
2/21/2019,10400 S. Talman Ave.,Chicago,Il,2,4,2,41.70435400000,-87.68825900000,1.00000000000,range_interpolation
6/30/2016,10400 S. Avers Ave.,Chicago,Il,1,2,1,41.70395700000,-87.71716000000,1.00000000000,range_interpolation
2/3/2019,10400 S M St,Chicago,Il,4,2,2,41.70303500000,-87.65117500000,0.60000000000,nearest_rooftop_match
5/31/2016,10400 S. Calumet Ave.,Chicago,Il,3,4,2,41.70534200000,-87.61529100000,1.00000000000,rooftop
3/20/2019,10400 S Oakley Ave,Chicago,Il,1,3,1,41.70442000000,-87.67949800000,1.00000000000,rooftop
3/6/2019,10400 S Wentworth Ave,Chicago,Il,2,1,1,41.70511000000,-87.62853000000,1.00000000000,rooftop
7/28/2016,10400 S. Whipple St.,Chicago,Il,2,1,1,41.70426900000,-87.69809900000,1.00000000000,rooftop
7/6/2016,10400 S. Troy St.,Chicago,Il,2,4,2,41.70424300000,-87.70045600000,1.00000000000,rooftop
11/19/2018,1000 N. Mayfield Ave.,Chicago,Il,1,4,2,41.89853700000,-87.77281500000,1.00000000000,range_interpolation
2/5/2019,10400 S Trumbull Ave,Chicago,Il,3,6,1,41.70412000000,-87.70782400000,1.00000000000,rooftop
7/2/2018,10400 S. Dr Martin Luther King Jr Dr.,Chicago,Il,6,9,4,41.70533600000,-87.61409200000,1.00000000000,rooftop
12/3/2018,10400 S. Talman Ave.,Chicago,Il,4,3,1,41.70435400000,-87.68825900000,1.00000000000,range_interpolation
9/24/2016,10400 S. Artesian Ave.,Chicago,Il,5,2,1,41.70441000000,-87.68283900000,1.00000000000,range_interpolation
